result_id,field,extracted_value,source_locator,extractor,extraction_date,batch_id,verifier,verified_date,verified_value,agreement,adjudication,notes
jump_norway,employment_selection_status,selected,evensen2017 Participants pp. 181-182 and Figure 1 p. 182; evensen2019 Participants p. 2; gjerdalen2023 Discussion p. 28,claude-opus-5,2026-08-12,F02,,,,,,"COHORT-LEVEL FIELD, keyed by cohort_id. The gate that keeps this cohort out of the primary prevalence pool (D9, SAP 2.1). Cohort membership required starting the JUMP vocational rehabilitation: 25 otherwise-eligible referrals who did not start are outside the 148, and recruitment ran through mental health AND vocational services and NAV. gjerdalen2023 states 'all the participants exhibited some level of motivation to work'. Not `unclear`: the restriction is stated, not merely unreported."
jump_norway,employment_selection_reason,vocational_service_entry,evensen2017 Figure 1 p. 182 ('173 Eligible / 25 non-starters' -> '148 starters'),claude-opus-5,2026-08-12,F02,,,,,,COHORT-LEVEL FIELD. Vocational-service entry is the documented restriction; work intention is corroborating but is asserted in a discussion sentence rather than stated as an eligibility criterion.
jump_norway,design,cluster_rct,klungsyr2021 Sample p. 3 ('Each county was randomized to one of two interventions VR + CBT or VR + CR'); evensen2017 p. 181; gjerdalen2023 2.1 p. 24,claude-opus-5,2026-08-12,F02,,,,,,"COHORT-LEVEL FIELD. Randomisation was by county, six clusters, and no non-augmented control arm exists."
jump_norway:cohort,employment_targeted_intervention,yes,evensen2017 p. 181 ('an overall aim of aiding participants to obtain competitive employment'); gjerdalen2023 1. Introduction p. 24,claude-opus-5,2026-08-12,F02,,,,,,ARM-LEVEL FIELD. Fails the SAP 2.1 trial-derived whole-cohort safeguard independently of the employment-selection gate.
jump_norway:cohort,all_original_arms_included,yes,gjerdalen2023 Table 1 p. 26 and Figure 2 p. 27; evensen2017 Figure 1 p. 182,claude-opus-5,2026-08-12,F02,,,,,,"ARM-LEVEL FIELD. Both allocation groups (84 CBT, 64 CR) are inside every whole-cohort figure; Figure 2 shows the split."
jump_norway:cohort,post_randomisation_selection,no,evensen2017 Results p. 183; gjerdalen2023 Results 3.2 p. 25,claude-opus-5,2026-08-12,F02,,,,,,"ARM-LEVEL FIELD. The whole-cohort figures cover everyone who entered; the 7 unreached at 2 years are ordinary attrition, which D12.3c states is not post-randomisation subgroup selection."
evensen2017_cohort_t24m_paidcomp,outcome_construct,paid_competitive,"evensen2017, Results / Employment outcome, p. 183 (count and percentage); Outcome measures, p. 183 (definition); Figure 1, p. 182 ('2 Year follow up: 78 employment status' CBT and '61 employment status' CR = 139)",claude-opus-5,2026-08-12,F02,,,,,,"paid_competitive, NOT paid_any: work placement and sheltered work in this programme are financed by work assessment allowance or disability benefits, so paid_any is not identified. Bound on the 139 observed: 31 <= paid_any <= 88."
evensen2017_cohort_t24m_paidcomp,ascertainment,point_prevalence,"evensen2017, Results / Employment outcome, p. 183 (count and percentage); Outcome measures, p. 183 (definition); Figure 1, p. 182 ('2 Year follow up: 78 employment status' CBT and '61 employment status' CR = 139)",claude-opus-5,2026-08-12,F02,,,,,,
evensen2017_cohort_t24m_paidcomp,followup_months,24,"evensen2017, Results / Employment outcome, p. 183 (count and percentage); Outcome measures, p. 183 (definition); Figure 1, p. 182 ('2 Year follow up: 78 employment status' CBT and '61 employment status' CR = 139)",claude-opus-5,2026-08-12,F02,,,,,,
evensen2017_cohort_t24m_paidcomp,followup_basis,since_baseline,"evensen2017, Results / Employment outcome, p. 183 (count and percentage); Outcome measures, p. 183 (definition); Figure 1, p. 182 ('2 Year follow up: 78 employment status' CBT and '61 employment status' CR = 139)",claude-opus-5,2026-08-12,F02,,,,,,
