rob_assessment_id,result_id,rob_tool,rob_tool_version,domain,signalling_responses,judgement,rationale,source_location,assessor,checker,bias_direction
rodriguezpulido2021_crips_t8m_paidcomp__rob2_1_randomisation,rodriguezpulido2021_crips_t8m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_1_randomisation,,some_concerns,"The allocation sequence was generated by computer ('carried out randomly using a computer program (Microsoft Excel 2010)', p. 296) but nothing is said about allocation concealment or who enrolled participants. Baseline balance is shown across demographics, diagnosis, education, hospitalisations, PANSS and every cognitive measure with no p below .08 (Table 1, p. 301; Table 2, pp. 302-303), which argues against a failure of randomisation, so concerns rather than high risk.","Methods, Study groups, p. 296; Table 1, p. 301",claude-opus-5,,
rodriguezpulido2021_crips_t8m_paidcomp__rob2_2_deviations,rodriguezpulido2021_crips_t8m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_2_deviations,,high,"Open-label trial: participants, employment specialists and cognitive-remediation therapists all knew the assignment, and the IPS team also served other clients. More decisively, the employment results are analysed on completers only, 23 and 24 of the 28 and 29 randomised, so what is estimated is not the effect of ASSIGNMENT to CR+IPS. Two of the 23 CR+IPS completers did not reach the six-session threshold and were not classified as 'exposed to treatment', and no intention-to-treat analysis is reported anywhere.","Methods, Study groups, p. 296; Results, p. 300; Table 4, p. 308",claude-opus-5,,
rodriguezpulido2021_crips_t8m_paidcomp__rob2_3_missing_outcome_data,rodriguezpulido2021_crips_t8m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_3_missing_outcome_data,,some_concerns,"Ten of the 57 randomised participants (17.5%) have no employment outcome, balanced at five per arm. The stated reasons are 'loss of contact, illness, hospitalization, death, retirement and move to another city' (p. 296), several of which could plausibly depend on the employment outcome itself. Completers and non-completers were compared, but only on cognitive variables and symptomatology, not on employment, and no sensitivity analysis is reported.","Methods, Study groups, p. 296; Figure 1, p. 297",claude-opus-5,,
rodriguezpulido2021_crips_t8m_paidcomp__rob2_4_outcome_measurement,rodriguezpulido2021_crips_t8m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_4_outcome_measurement,,low,"Obtaining a job is an objective event, collected prospectively and weekly by two research assistants who were explicitly blind to allocation: 'the employment results were collected weekly by research assistants (two psychologists) during the follow-up period. They were all unaware of which group the study participants belonged to' (p. 297). The measure is identical in both arms.","Methods, Study groups, p. 297",claude-opus-5,,
rodriguezpulido2021_crips_t8m_paidcomp__rob2_5_selective_reporting,rodriguezpulido2021_crips_t8m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_5_selective_reporting,,some_concerns,"No trial registration, protocol or pre-specified analysis plan is cited anywhere in the report, and no primary outcome is nominated among the cognitive and vocational measures. The employment rate is defined in the methods but its numerators are never printed, only percentages in the text and a figure, while Table 4 gives the less policy-relevant jobs-per-individual, hours and wage measures with means and standard deviations. Selective reporting cannot be excluded and the missing counts are themselves a reporting failure.","Whole report; Methods p. 297; Results p. 307; Table 4, p. 308",claude-opus-5,,
rodriguezpulido2021_crips_t8m_paidcomp__rob2_overall,rodriguezpulido2021_crips_t8m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_overall,,high,"High overall, driven by the domain-2 judgement: a completers-only analysis of an open-label trial does not estimate the effect of assignment. Compounded by an unregistered protocol, 17.5% missing outcome data and n=47 analysed.",Overall judgement across domains,claude-opus-5,,
rodriguezpulido2021_crips_t12m_paidcomp__rob2_1_randomisation,rodriguezpulido2021_crips_t12m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_1_randomisation,,some_concerns,"The allocation sequence was generated by computer ('carried out randomly using a computer program (Microsoft Excel 2010)', p. 296) but nothing is said about allocation concealment or who enrolled participants. Baseline balance is shown across demographics, diagnosis, education, hospitalisations, PANSS and every cognitive measure with no p below .08 (Table 1, p. 301; Table 2, pp. 302-303), which argues against a failure of randomisation, so concerns rather than high risk.","Methods, Study groups, p. 296; Table 1, p. 301",claude-opus-5,,
rodriguezpulido2021_crips_t12m_paidcomp__rob2_2_deviations,rodriguezpulido2021_crips_t12m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_2_deviations,,high,"Open-label trial: participants, employment specialists and cognitive-remediation therapists all knew the assignment, and the IPS team also served other clients. More decisively, the employment results are analysed on completers only, 23 and 24 of the 28 and 29 randomised, so what is estimated is not the effect of ASSIGNMENT to CR+IPS. Two of the 23 CR+IPS completers did not reach the six-session threshold and were not classified as 'exposed to treatment', and no intention-to-treat analysis is reported anywhere.","Methods, Study groups, p. 296; Results, p. 300; Table 4, p. 308",claude-opus-5,,
rodriguezpulido2021_crips_t12m_paidcomp__rob2_3_missing_outcome_data,rodriguezpulido2021_crips_t12m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_3_missing_outcome_data,,some_concerns,"Ten of the 57 randomised participants (17.5%) have no employment outcome, balanced at five per arm. The stated reasons are 'loss of contact, illness, hospitalization, death, retirement and move to another city' (p. 296), several of which could plausibly depend on the employment outcome itself. Completers and non-completers were compared, but only on cognitive variables and symptomatology, not on employment, and no sensitivity analysis is reported.","Methods, Study groups, p. 296; Figure 1, p. 297",claude-opus-5,,
rodriguezpulido2021_crips_t12m_paidcomp__rob2_4_outcome_measurement,rodriguezpulido2021_crips_t12m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_4_outcome_measurement,,low,"Obtaining a job is an objective event, collected prospectively and weekly by two research assistants who were explicitly blind to allocation: 'the employment results were collected weekly by research assistants (two psychologists) during the follow-up period. They were all unaware of which group the study participants belonged to' (p. 297). The measure is identical in both arms.","Methods, Study groups, p. 297",claude-opus-5,,
