report_id,field,old,new,reason
domenicano2025,notes,"47/101 at 24m; attrition from 174 enrolled not accounted for","47/101 at 24m per Table 2 and Figure 1. Attrition IS itemised in Figure 1 (174 -> 139: discharged 21, dropped out 14; 139 -> 101: discharged 23, dropped out 14). The real defect is a contradicted 24-month denominator: 104 (78M) in Results 3.2 against 101 (76M, 25F) in Figure 1 and Table 2, while Figure 1's own subtraction gives 102 (76M, 26F).","REFUTED in part. The triage note says attrition is not accounted for; Figure 1, p. 4 accounts for all of it stage by stage. What the triage missed is the denominator contradiction, which blocks the 24-month results (conflict_status = unresolved)."
drake2015,notes,"27/90 at 7y; selected for co-occurring SUD, high service use, unstable housing","27 competitive jobs at 7 years, denominator NOT recoverable: Table 3 prints 27 (28%) over a column N of 90, but 27/90 = 30%, and no cell of that row matches its column N at any timepoint. Selection is clinical and social (SUD, service use, housing), which is NOT employment selection: employment_selection_status = none.","REFUTED on two points. (1) 27/90 is not the proportion the paper reports; the authors' own denominators differ from the printed column Ns and are nowhere printed (Table 3, p. 207). (2) The listed selection criteria are clinical and social; D9 employment selection covers employment-related entry criteria only, and this cohort has none."
cook2016,notes,"CRITICAL SELECTION unemployed and desiring work; ever-employed over 13y; 24.5% died","CONFIRMED: 'desiring employment; being unemployed (except at one site)' (Method, p. 1008); ever-employed 2000-2012 (any_time_during_followup); 24.5% died and were right-censored. ADDITION: the 13 years are the fixed calendar window 2000-2012 while entry ran 1996-1998, so followup_basis = calendar_end_common (D12.8) and the result is barred from every landmark horizon.","CONFIRMED with one addition. The triage note is accurate; the calendar basis of the 13-year window is recorded because it changes horizon eligibility independently of the selection finding."
cook2016,cohort_overlap_notes,,"May share participants with hartford_ips_rct (detore2019), which states it was one of the eight EIDP site trials (cooperative #UD7 SM51818). Whether any Hartford participants are among these 449 cannot be determined because the six contributing sites are not named. Do not pool eidp_usa with hartford_ips_rct.","NEW FINDING. Neither manifest row recorded any cohort overlap. The link is evidenced by detore2019's acknowledgements naming the EIDP, and D5 makes cohort overlap a first-order concern."
detore2019,cohort_overlap_notes,,"One of the eight Employment Intervention Demonstration Program site trials (acknowledgements, cooperative #UD7 SM51818), so its participants are EIDP participants and overlap the cohort cook2016 describes as eidp_usa. Separately, ct_dual_diagnosis (drake2015) recruited 1993-1998 in Hartford and Bridgeport with overlapping investigators; overlap with this Hartford sample is possible but unevidenced.","NEW FINDING, same as the cook2016 row. The second, unevidenced possibility is recorded as a flag only and is not asserted as a relationship in report_cohort_map.csv."
cook2016,report_quantifiable,,yes,"D10.2 field, filled from the paper. 148/449 at 13 years and 83/234 and 65/215 by arm are printed as counts with denominators (Table 2, p. 1010). The 24-month EIDP-period results are percentages only and are recorded with blank numerators."
detore2019,report_quantifiable,,yes,"D10.2 field, filled from the paper. 51 of 68 is printed as a count with its denominator (Method 2.1, p. 313)."
domenicano2025,report_quantifiable,,yes,"D10.2 field, filled from the paper. Table 2, p. 7 prints counts with denominators at 12 and 24 months; the 24-month denominator is contradicted, which is recorded as a conflict rather than as unquantifiability."
drake2015,report_quantifiable,,no,"D10.2 field, filled from the paper. Counts are printed but no denominator reproduces any printed percentage, so no numerator-denominator pair is recoverable without back-calculating. Its loss belongs at the numerator/denominator gate and in the missing-evidence assessment."
falk2016,report_quantifiable,,no,"D10.2 field, filled from the paper. Employment appears only as age-standardised non-employment rates, which are not crude proportions and carry no numerator or denominator. An author request is the only route."
fulford2018,report_quantifiable,,no,"D10.2 field, filled from the paper. Table 1, p. 371 prints percentages with no numerator and only a range of denominators across all variables; the composite is also an aggregated score, so the percentage need not be a person-level proportion."
fulford2018,notes,"percentages only; composite work-or-school; RAISE-ETP is cluster randomised","CONFIRMED on all three. ADDITION: the work-or-school score is three SURF items combined and then 'aggregated across 6-month time points', so the printed percentage is the mean of an aggregated score, not necessarily a proportion of participants; 39.8% at baseline is not n/404 for any integer n.","CONFIRMED with one addition. The addition matters because it rules out even a hypothetical back-calculation and it means the value is not a clean point or period prevalence."
falk2016,notes,"age-standardised NON-employment rates only; numerator not recoverable","CONFIRMED. ADDITION: follow-up is to the single calendar year 2010 from inclusion years 2005 or 2006, so followup_basis = calendar_end_common (D12.8), elapsed follow-up is 4 to 6 years, and the result is barred from every landmark horizon independently of the missing numerator.","CONFIRMED with one addition affecting horizon eligibility."
detore2019,notes,"CRITICAL SELECTION unemployed and interested in competitive work; 51/68 IPS arm","CONFIRMED: '(2) not employed at start of study; (3) interested in competitive employment' (Method 2.1, p. 313); 51 of 68 IPS participants obtained competitive work. ADDITION: the analysed sample of this paper is those 51, i.e. selected on the outcome, so no employment proportion can come from the paper's own analysis sample; and the 68 is an allocated arm, not a recruited cohort.","CONFIRMED with one addition. Recorded so that a later reader does not mistake the 51 for a cohort."
