report_id,cohort_id,relationship,contributes_results,notes
chan2019,hk_easy_2001,describes,no,"CONFIRMED from the paper: EASY entrants 1 July 2001 to 30 June 2002 with a schizophrenia-spectrum diagnosis, 148 identified, 74.3% interviewed at 10 years (Methods 2.2 and Results, pp. 66-67). No employment count is reported, so no result is contributed."
chan2019,hk_easy_fep_2001_2003,overlaps_with,no,Near-certain participant overlap: the EASY enrolment window of hk_easy_fep_2001_2003 (July 2001 to August 2003) contains this cohort's window. Neither report states the overlap. Recorded so that results from the two cohorts are never pooled.
chan2020,hk_easy_2001,describes,no,"TRIAGE HINT CONFIRMED. The early intervention sample is hk_easy_2001: EASY, 1 July 2001 to 30 June 2002, schizophrenia-spectrum, 148 identified, successful interview rate 74.3% (N = 110), and chan2019 is cited as reference 22 for the same sample (Method, Samples, p. 492; Results, p. 493). No employment count is reported, so no result is contributed."
chan2020,hk_standard_care_2000,describes,no,"Second, separately recruited sample in the same report (standard care first presenters 1 July 2000 to 30 June 2001, individually matched, 148 identified, interview rate 70.3%, N = 104). Two cohort_ids under D12.5 and codebook rule 11, not two subgroup arms. No employment count is reported."
chan2020,hk_easy_fep_2001_2003,overlaps_with,no,Near-certain participant overlap through the early intervention sample; see the chan2019 overlaps_with row.
chan2022,hk_easy_2001,describes,no,"Re-analysis of the same 148 matched pairs; the EIS group (n = 107 of the analysed 209, Table 1, p. 3) is this cohort. No employment count is reported."
chan2022,hk_standard_care_2000,describes,no,"The SCS group (n = 102 of the analysed 209, Table 1, p. 3) is this cohort. The paper's main analysis pools the two cohorts and splits on relapse timing, so it is not a whole-cohort analysis unit for either. No employment count is reported."
chan2022,hk_easy_fep_2001_2003,overlaps_with,no,Near-certain participant overlap through the EIS group; see the chan2019 overlaps_with row.
chang2016,hk_easy_fep_2001_2003,describes,yes,"MANIFEST CORRECTED from hk_easy_2001. 700 EASY enrollees July 2001 to August 2003; 515 with schizophrenia or first-episode psychotic mania; 420 completed 3-year follow-up (Methods 2.1, p. 2; Results, p. 2). Contributes the only two results in batch F01, both blocked by conflict_status = unresolved."
chang2016,hk_easy_2001,overlaps_with,no,"This report's sample near-certainly contains the 148 schizophrenia-spectrum EASY entrants of 1 July 2001 to 30 June 2002 studied by chan2019, chan2020 and chan2022. Neither report states the overlap. Its results must not be pooled with any hk_easy_2001 result."
chang2016b,hk_easy_ext_rct,describes,no,"MANIFEST CORRECTED from hk_easy_2001. Randomised trial of a 1-year extension of EI versus step-down care in patients who had already completed the 2-year EASY programme (n = 160 randomised, 156 analysed; Methods 2.1, p. 80). Employment is reported only inside the composite functional remission outcome, so no result is contributed."
